timestamp,code,low,open,close,high,volume,turnover,securityId
2016-10-18,300550,16.54,16.54,18.04,18.04,6600,118314,stock_sz_300550
2016-10-19,300550,19.84,19.84,19.84,19.84,1200,23808,stock_sz_300550
2016-10-20,300550,21.82,21.82,21.82,21.82,1300,28366,stock_sz_300550
2016-10-21,300550,24.0,24.0,24.0,24.0,600,14400,stock_sz_300550
2016-10-24,300550,26.4,26.4,26.4,26.4,1800,47520,stock_sz_300550
2016-10-25,300550,29.04,29.04,29.04,29.04,3200,92928,stock_sz_300550
2016-10-26,300550,31.94,31.94,31.94,31.94,4600,146924,stock_sz_300550
2016-10-27,300550,35.13,35.13,35.13,35.13,4000,140520,stock_sz_300550
2016-10-28,300550,38.64,38.64,38.64,38.64,6000,231840,stock_sz_300550
2016-10-31,300550,42.5,42.5,42.5,42.5,12100,514250,stock_sz_300550
2016-11-01,300550,46.75,46.75,46.75,46.75,15500,724625,stock_sz_300550
2016-11-02,300550,51.43,51.43,51.43,51.43,14700,756021,stock_sz_300550
2016-11-03,300550,56.57,56.57,56.57,56.57,7900,446903,stock_sz_300550
2016-11-04,300550,62.23,62.23,62.23,62.23,17200,1070356,stock_sz_300550
2016-11-07,300550,68.45,68.45,68.45,68.45,71646,4904169,stock_sz_300550
2016-11-08,300550,75.3,75.3,75.3,75.3,71354,5372956,stock_sz_300550
2016-11-09,300550,82.83,82.83,82.83,82.83,55033,4558383,stock_sz_300550
2016-11-10,300550,91.11,91.11,91.11,91.11,31400,2860854,stock_sz_300550
2016-11-11,300550,100.22,100.22,100.22,100.22,109712,10995337,stock_sz_300550
2016-11-14,300550,105.0,110.24,106.8,110.24,12371703,1329680673,stock_sz_300550
2016-11-15,300550,99.7,106.0,100.19,106.47,6335466,643247949,stock_sz_300550
2016-11-16,300550,96.52,99.42,96.76,100.89,4341501,426281991,stock_sz_300550
2016-11-17,300550,94.0,95.5,95.54,97.5,3378550,323375922,stock_sz_300550
2016-11-18,300550,95.1,95.89,95.5,96.58,2073633,198537902,stock_sz_300550
2016-11-21,300550,91.62,95.01,93.25,95.02,3143468,292516845,stock_sz_300550
2016-11-22,300550,93.88,93.93,97.04,99.5,4457495,432171151,stock_sz_300550
2016-11-23,300550,95.51,97.99,95.63,97.99,2351108,226837426,stock_sz_300550
2016-11-24,300550,93.0,95.49,93.27,96.22,1923824,182010020,stock_sz_300550
2016-11-25,300550,90.11,92.93,93.78,93.98,2175782,200520137,stock_sz_300550
2016-11-28,300550,90.87,93.05,90.9,93.8,1565116,143839100,stock_sz_300550
2016-11-29,300550,88.89,90.9,89.15,91.65,1738961,156540232,stock_sz_300550
2016-11-30,300550,88.66,88.82,90.98,91.13,1536909,138612364,stock_sz_300550
2016-12-01,300550,89.98,90.11,91.18,91.95,1238674,112575013,stock_sz_300550
2016-12-02,300550,86.8,91.27,86.8,91.48,1674451,148512458,stock_sz_300550
2016-12-05,300550,85.0,85.0,86.16,87.44,788060,68066015,stock_sz_300550
2016-12-06,300550,86.29,86.29,86.84,87.9,797520,69560723,stock_sz_300550
2016-12-07,300550,85.2,87.1,87.19,87.5,812052,70057155,stock_sz_300550
2016-12-08,300550,87.15,87.2,87.75,89.37,1116215,98614230,stock_sz_300550
2016-12-09,300550,85.29,87.21,85.3,88.41,1108382,95849841,stock_sz_300550
2016-12-12,300550,76.77,84.8,76.77,84.8,2128907,169955212,stock_sz_300550
2016-12-13,300550,74.16,75.3,75.17,77.1,1447415,109343205,stock_sz_300550
2016-12-14,300550,73.51,74.9,73.62,75.3,1035181,76996054,stock_sz_300550
2016-12-15,300550,72.3,73.02,74.2,75.6,1035981,77253589,stock_sz_300550
2016-12-16,300550,73.3,74.2,74.12,74.79,1040734,76982179,stock_sz_300550
2016-12-19,300550,73.2,74.7,73.3,74.7,703994,52026486,stock_sz_300550
2016-12-20,300550,72.6,73.2,73.1,73.98,778903,57020013,stock_sz_300550
2016-12-21,300550,72.66,73.37,74.17,74.5,1021701,75169525,stock_sz_300550
2016-12-22,300550,73.17,73.8,73.5,74.13,741771,54611054,stock_sz_300550
2016-12-23,300550,69.7,73.5,69.7,73.5,1123936,80407670,stock_sz_300550
2016-12-26,300550,68.0,69.39,70.4,70.44,816292,56432932,stock_sz_300550
2016-12-27,300550,69.85,70.4,70.07,70.88,533865,37541926,stock_sz_300550
2016-12-28,300550,69.5,70.0,69.74,70.46,526683,36874806,stock_sz_300550
2016-12-29,300550,69.21,69.89,69.36,70.32,508338,35446898,stock_sz_300550
2016-12-30,300550,68.51,69.36,68.77,69.55,592500,40892825,stock_sz_300550
2017-01-03,300550,69.07,69.2,70.19,70.48,747000,52206858,stock_sz_300550
2017-01-04,300550,70.02,70.67,71.15,71.5,924998,65421194,stock_sz_300550
2017-01-05,300550,69.65,71.0,69.67,71.17,759598,53461880,stock_sz_300550
2017-01-06,300550,66.36,69.29,66.36,69.46,1240501,84259439,stock_sz_300550
2017-01-09,300550,64.8,65.5,65.34,66.0,753400,49209741,stock_sz_300550
2017-01-10,300550,65.32,65.72,65.66,66.88,716823,47395048,stock_sz_300550
2017-01-11,300550,64.0,65.43,64.28,65.5,731867,47349324,stock_sz_300550
2017-01-12,300550,63.11,64.33,63.88,65.4,764500,49334308,stock_sz_300550
2017-01-13,300550,60.0,63.58,61.4,64.1,1083085,67462642,stock_sz_300550
2017-01-16,300550,55.26,60.03,55.88,60.1,1670487,96414182,stock_sz_300550
2017-01-17,300550,54.02,55.59,58.24,59.87,1331117,75759396,stock_sz_300550
2017-01-18,300550,55.31,57.5,55.89,57.78,715000,40600160,stock_sz_300550
2017-01-19,300550,54.01,55.85,57.0,57.99,1020307,57595074,stock_sz_300550
2017-01-20,300550,56.41,56.48,59.03,60.5,1220031,71981066,stock_sz_300550
2017-01-23,300550,58.58,58.58,59.66,60.18,761895,45468995,stock_sz_300550
2017-01-24,300550,57.03,58.88,57.45,58.88,918086,53160074,stock_sz_300550
2017-01-25,300550,56.92,57.4,58.4,58.69,661036,38456284,stock_sz_300550
2017-01-26,300550,58.0,58.5,58.7,59.4,619236,36298626,stock_sz_300550
2017-02-03,300550,57.9,59.58,58.01,59.68,507225,29726605,stock_sz_300550
2017-02-06,300550,58.3,58.3,59.67,59.75,902261,53400277,stock_sz_300550
2017-02-07,300550,58.21,59.47,58.5,59.62,673797,39595463,stock_sz_300550
2017-02-08,300550,58.1,58.6,59.9,60.1,867626,51480478,stock_sz_300550
2017-02-09,300550,59.96,59.96,60.56,61.7,1276160,77691489,stock_sz_300550
2017-02-10,300550,59.1,60.2,59.27,61.17,916004,54917978,stock_sz_300550
2017-02-13,300550,58.05,58.9,61.98,62.0,1489315,90872363,stock_sz_300550
2017-02-14,300550,60.8,61.98,61.41,62.49,838278,51325509,stock_sz_300550
2017-02-15,300550,61.0,61.21,61.68,62.8,1312740,81364035,stock_sz_300550
2017-02-16,300550,60.73,61.19,63.06,63.07,1604371,99831582,stock_sz_300550
2017-02-17,300550,60.27,63.06,60.27,64.4,2342258,145942062,stock_sz_300550
2017-02-20,300550,58.46,59.98,59.23,61.68,1774008,106006802,stock_sz_300550
2017-02-21,300550,59.51,59.9,60.26,60.78,1226200,73977175,stock_sz_300550
2017-02-22,300550,58.82,60.45,59.24,60.5,893800,53168095,stock_sz_300550
2017-02-23,300550,59.08,59.08,60.0,60.33,711700,42512193,stock_sz_300550
2017-02-24,300550,59.8,60.19,61.22,61.6,1033014,62876236,stock_sz_300550
2017-02-27,300550,61.23,61.23,61.8,62.82,1416914,87889141,stock_sz_300550
2017-02-28,300550,61.01,61.67,62.5,62.55,1020710,63177875,stock_sz_300550
2017-03-01,300550,62.51,62.69,63.5,66.72,2688421,173596653,stock_sz_300550
2017-03-02,300550,61.9,64.27,62.33,64.27,1424425,89355033,stock_sz_300550
2017-03-03,300550,61.24,62.12,62.3,62.63,921565,56997958,stock_sz_300550
2017-03-06,300550,61.83,62.2,63.26,63.49,993416,62439075,stock_sz_300550
2017-03-07,300550,62.98,63.33,64.45,64.45,1294299,82405684,stock_sz_300550
2017-03-08,300550,63.06,65.0,63.3,65.38,1135203,72722211,stock_sz_300550
2017-03-09,300550,62.16,62.8,62.9,63.45,728630,45609567,stock_sz_300550
2017-03-10,300550,62.75,63.0,63.78,64.58,1305425,83239739,stock_sz_300550
2017-03-13,300550,62.26,63.3,65.52,65.6,1728925,111209357,stock_sz_300550
2017-03-14,300550,64.7,65.02,65.2,66.09,1543520,100797269,stock_sz_300550
2017-03-15,300550,64.9,65.15,66.87,67.23,2268950,150223444,stock_sz_300550
